driverStandingsId,raceId,driverId,points,position,positionText,wins
70210,1051,4,0.0,1,-,0
70211,1051,822,0.0,2,-,0
70212,1051,842,0.0,3,-,0
70213,1051,841,0.0,4,-,0
70214,1051,1,0.0,5,-,0
70215,1051,849,0.0,6,-,0
70216,1051,844,0.0,7,-,0
70217,1051,853,0.0,8,-,0
70218,1051,846,0.0,9,-,0
70219,1051,839,0.0,10,-,0
70220,1051,815,0.0,11,-,0
70221,1051,8,0.0,12,-,0
70222,1051,817,0.0,13,-,0
70223,1051,847,0.0,14,-,0
70224,1051,832,0.0,15,-,0
70225,1051,832,0.0,15,-,0
70226,1051,854,0.0,16,-,0
70227,1051,840,0.0,17,-,0
70228,1051,852,0.0,18,-,0
70229,1051,830,0.0,19,-,0
70230,1051,20,0.0,20,-,0
70231,1052,1,25.0,1,1,1
70232,1052,830,18.0,2,2,0
70233,1052,822,16.0,3,3,0
70234,1052,846,12.0,4,4,0
70235,1052,815,10.0,5,5,0
70236,1052,844,8.0,6,6,0
70237,1052,817,6.0,7,7,0
70238,1052,832,4.0,8,8,0
70239,1052,852,2.0,9,9,0
70240,1052,840,1.0,10,10,0
70241,1052,8,0.0,11,11,0
70242,1052,841,0.0,12,12,0
70243,1052,839,0.0,13,13,0
70244,1052,847,0.0,14,14,0
70245,1052,20,0.0,15,15,0
70246,1052,854,0.0,16,16,0
70247,1052,842,0.0,17,17,0
70248,1052,849,0.0,18,18,0
70249,1052,4,0.0,19,19,0
70250,1052,853,0.0,20,20,0
70300,1053,840,5.0,10,10,0
70295,1053,815,10.0,8,8,0
70310,1053,853,0.0,19,19,0
70309,1053,4,1.0,13,13,0
70308,1053,849,0.0,20,20,0
70307,1053,842,6.0,9,9,0
70298,1053,832,14.0,6,6,0
70296,1053,844,20.0,4,4,0
70292,1053,830,43.0,2,2,1
70305,1053,20,0.0,17,17,0
70304,1053,847,0.0,16,16,0
70306,1053,854,0.0,18,18,0
70303,1053,839,2.0,12,12,0
70302,1053,841,0.0,15,15,0
70301,1053,8,0.0,14,14,0
70299,1053,852,2.0,11,11,0
70297,1053,817,14.0,7,7,0
70294,1053,846,27.0,3,3,0
70293,1053,822,16.0,5,5,0
70291,1053,1,44.0,1,1,1
70311,1054,1,69.0,1,1,2
70312,1054,830,61.0,2,2,1
70313,1054,822,32.0,4,4,0
70314,1054,846,37.0,3,3,0
70315,1054,815,22.0,6,6,0
70316,1054,844,28.0,5,5,0
70317,1054,817,16.0,7,7,0
70318,1054,832,14.0,8,8,0
70319,1054,852,2.0,13,13,0
70320,1054,840,5.0,11,11,0
70321,1054,8,0.0,14,14,0
70322,1054,841,0.0,15,15,0
70323,1054,839,8.0,9,9,0
70324,1054,847,0.0,17,17,0
70325,1054,20,0.0,16,16,0
70326,1054,854,0.0,18,18,0
70327,1054,842,7.0,10,10,0
70328,1054,849,0.0,20,20,0
70329,1054,4,5.0,12,12,0
70330,1054,853,0.0,19,19,0
70331,1055,1,94.0,1,1,3
70332,1055,830,80.0,2,2,1
70333,1055,822,47.0,3,3,0
70334,1055,846,41.0,4,4,0
70335,1055,815,32.0,6,6,0
70336,1055,844,40.0,5,5,0
70337,1055,817,24.0,7,7,0
70338,1055,832,20.0,8,8,0
70339,1055,852,2.0,13,13,0
70340,1055,840,5.0,11,11,0
70341,1055,8,0.0,14,14,0
70342,1055,841,0.0,15,15,0
70343,1055,839,10.0,9,9,0
70344,1055,847,0.0,17,17,0
70345,1055,20,0.0,16,16,0
70346,1055,854,0.0,18,18,0
70347,1055,842,8.0,10,10,0
70348,1055,849,0.0,19,19,0
70349,1055,4,5.0,12,12,0
70350,1055,853,0.0,20,20,0
70351,1056,1,101.0,2,2,3
70352,1056,830,105.0,1,1,2
70353,1056,822,47.0,4,4,0
70354,1056,846,56.0,3,3,0
70355,1056,815,44.0,5,5,0
70356,1056,844,40.0,6,6,0
70357,1056,817,24.0,8,8,0
70358,1056,832,38.0,7,7,0
70359,1056,852,2.0,14,14,0
70360,1056,840,9.0,12,12,0
70361,1056,8,0.0,16,16,0
70362,1056,841,1.0,15,15,0
70363,1056,839,12.0,10,10,0
70364,1056,847,0.0,17,17,0
70365,1056,20,10.0,11,11,0
70366,1056,854,0.0,19,19,0
70367,1056,842,16.0,9,9,0
70368,1056,849,0.0,18,18,0
70369,1056,4,5.0,13,13,0
70370,1056,853,0.0,20,20,0
70371,1057,1,101.0,2,2,3
70372,1057,830,105.0,1,1,2
70373,1057,822,47.0,6,6,0
70374,1057,846,66.0,4,4,0
70375,1057,815,69.0,3,3,1
70376,1057,844,52.0,5,5,0
70377,1057,817,26.0,10,10,0
70378,1057,832,42.0,7,7,0
70379,1057,852,8.0,14,14,0
70380,1057,840,9.0,13,13,0
70381,1057,8,1.0,15,15,0
70382,1057,841,1.0,16,16,0
70383,1057,839,12.0,12,12,0
70384,1057,847,0.0,18,18,0
70385,1057,20,28.0,9,9,0
70386,1057,854,0.0,17,17,0
70387,1057,842,31.0,8,8,0
70388,1057,849,0.0,20,20,0
70389,1057,4,13.0,11,11,0
70390,1057,853,0.0,19,19,0
70391,1059,1,119.0,2,2,3
70392,1059,830,131.0,1,1,3
70393,1059,822,59.0,5,5,0
70394,1059,846,76.0,4,4,0
70395,1059,815,84.0,3,3,1
70396,1059,844,52.0,6,6,0
70397,1059,817,34.0,9,9,0
70398,1059,832,42.0,7,7,0
70399,1059,852,8.0,14,14,0
70400,1059,840,10.0,13,13,0
70401,1059,8,1.0,15,15,0
70402,1059,841,1.0,16,16,0
70403,1059,839,12.0,12,12,0
70404,1059,847,0.0,17,17,0
70405,1059,20,30.0,10,10,0
70406,1059,854,0.0,18,18,0
70407,1059,842,37.0,8,8,0
70408,1059,849,0.0,20,20,0
70409,1059,4,17.0,11,11,0
70410,1059,853,0.0,19,19,0
70411,1058,1,138.0,2,2,3
70412,1058,830,156.0,1,1,4
70413,1058,822,74.0,5,5,0
70414,1058,846,86.0,4,4,0
70415,1058,815,96.0,3,3,1
70416,1058,844,58.0,6,6,0
70417,1058,817,34.0,9,9,0
70418,1058,832,50.0,7,7,0
70419,1058,852,9.0,14,14,0
70420,1058,840,14.0,12,12,0
70421,1058,8,1.0,15,15,0
70422,1058,841,1.0,16,16,0
70423,1058,839,12.0,13,13,0
70424,1058,847,0.0,17,17,0
70425,1058,20,30.0,10,10,0
70426,1058,854,0.0,18,18,0
70427,1058,842,37.0,8,8,0
70428,1058,849,0.0,20,20,0
70429,1058,4,19.0,11,11,0
70430,1058,853,0.0,19,19,0
70468,1060,849,0.0,20,20,0
70467,1060,842,39.0,9,9,0
70465,1060,20,30.0,10,10,0
70464,1060,847,0.0,17,17,0
70461,1060,8,1.0,15,15,0
70458,1060,832,60.0,7,7,0
70456,1060,844,62.0,6,6,0
70455,1060,815,104.0,3,3,1
70454,1060,846,101.0,4,4,0
70452,1060,830,182.0,1,1,5
70470,1060,853,0.0,19,19,0
70469,1060,4,20.0,11,11,0
70466,1060,854,0.0,18,18,0
70453,1060,822,92.0,5,5,0
70460,1060,840,14.0,12,12,0
70463,1060,839,12.0,13,13,0
70462,1060,841,1.0,16,16,0
70459,1060,852,9.0,14,14,0
70457,1060,817,40.0,8,8,0
70451,1060,1,150.0,2,2,3
70471,1061,1,177.0,2,2,4
70472,1061,830,185.0,1,1,5
70473,1061,822,108.0,4,4,0
70474,1061,846,113.0,3,3,0
70475,1061,815,104.0,5,5,1
70476,1061,844,80.0,6,6,0
70477,1061,817,50.0,8,8,0
70478,1061,832,68.0,7,7,0
70479,1061,852,10.0,14,14,0
70480,1061,840,18.0,12,12,0
70481,1061,8,1.0,15,15,0
70482,1061,841,1.0,16,16,0
70483,1061,839,14.0,13,13,0
70484,1061,847,0.0,17,17,0
70485,1061,20,30.0,10,10,0
70486,1061,854,0.0,18,18,0
70487,1061,842,39.0,9,9,0
70488,1061,849,0.0,19,19,0
70489,1061,4,26.0,11,11,0
70490,1061,853,0.0,20,20,0
70528,1062,849,6.0,15,15,0
70527,1062,842,50.0,8,8,0
70525,1062,20,30.0,12,12,0
70524,1062,847,4.0,16,16,0
70523,1062,839,39.0,10,10,1
70521,1062,8,2.0,17,17,0
70520,1062,840,18.0,14,14,0
70517,1062,817,50.0,9,9,0
70515,1062,815,104.0,5,5,1
70513,1062,822,108.0,4,4,0
70530,1062,853,0.0,20,20,0
70529,1062,4,38.0,11,11,0
70526,1062,854,0.0,19,19,0
70519,1062,852,18.0,13,13,0
70516,1062,844,80.0,7,7,0
70512,1062,830,187.0,2,2,5
70514,1062,846,113.0,3,3,0
70522,1062,841,1.0,18,18,0
70518,1062,832,83.0,6,6,0
70511,1062,1,195.0,1,1,4
70531,1063,1,202.5,1,1,4
70532,1063,830,199.5,2,2,6
70533,1063,822,108.0,4,4,0
70534,1063,846,113.0,3,3,0
70535,1063,815,104.0,5,5,1
70536,1063,844,82.0,7,7,0
70537,1063,817,56.0,8,8,0
70538,1063,832,83.5,6,6,0
70539,1063,852,18.0,13,13,0
70540,1063,840,18.0,14,14,0
70541,1063,8,2.0,17,17,0
70542,1063,841,1.0,18,18,0
70543,1063,839,42.0,10,10,1
70544,1063,847,13.0,15,15,0
70545,1063,20,35.0,12,12,0
70546,1063,854,0.0,19,19,0
70547,1063,842,54.0,9,9,0
70548,1063,849,7.0,16,16,0
70549,1063,4,38.0,11,11,0
70550,1063,853,0.0,20,20,0
70551,1064,1,221.5,2,2,4
70552,1064,830,224.5,1,1,7
70553,1064,822,123.0,3,3,0
70554,1064,846,114.0,4,4,0
70555,1064,815,108.0,5,5,1
70556,1064,844,92.0,6,6,0
70557,1064,817,56.0,9,9,0
70558,1064,832,89.5,7,7,0
70559,1064,852,18.0,13,13,0
70560,1064,840,18.0,14,14,0
70561,1064,8,2.0,17,17,0
70562,1064,841,1.0,18,18,0
70563,1064,839,44.0,11,11,1
70564,1064,847,13.0,15,15,0
70565,1064,20,35.0,12,12,0
70566,1064,854,0.0,19,19,0
70567,1064,842,66.0,8,8,0
70568,1064,849,7.0,16,16,0
70569,1064,4,46.0,10,10,0
70570,1064,853,0.0,20,20,0
70571,1064,9,0.0,21,21,0
